Subject,Title,Credits,Schedule,Instructor,Days,Time,Term
COMP 1001 A,Computing for Arts Students,0.5,Lecture,TBA, Mon Wed , 10:05 - 11:25 ,fall2023
COMP 1005 A,Introduc to Computer Science I,0.5,Lecture,TBA, Wed Fri , 14:35 - 15:55 ,fall2023
COMP 1005 A1,Introduc to Computer Science I,0,Tutorial,TBA, Wed , 18:05 - 19:25 ,fall2023
COMP 1005 A2,Introduc to Computer Science I,0,Tutorial,TBA, Tue , 18:05 - 19:25 ,fall2023
COMP 1005 B,Introduc to Computer Science I,0.5,Lecture,Connor Hillen, Mon Wed , 11:35 - 12:55 ,fall2023
COMP 1005 B1,Introduc to Computer Science I,0,Tutorial,Connor Hillen, Mon , 18:05 - 19:25 ,fall2023
COMP 1005 B2,Introduc to Computer Science I,0,Tutorial,Connor Hillen, Thu , 18:05 - 19:25 ,fall2023
COMP 1006 A,Introdu to Computer Science II,0.5,Lecture,Jason Hinek, Tue Thu , 11:35 - 12:55 ,fall2023
COMP 1006 A1,Introdu to Computer Science II,0,Tutorial,Jason Hinek, Wed , 18:05 - 19:25 ,fall2023
COMP 1006 A2,Introdu to Computer Science II,0,Tutorial,Jason Hinek, Tue , 08:35 - 09:55 ,fall2023
COMP 1006 B,Introdu to Computer Science II,0.5,Lecture,Jason Hinek, Tue Thu , 08:35 - 09:55 ,fall2023
COMP 1006 B1,Introdu to Computer Science II,0,Tutorial,Jason Hinek, Thu , 18:05 - 19:25 ,fall2023
COMP 1006 B2,Introdu to Computer Science II,0,Tutorial,Jason Hinek, Fri , 13:05 - 14:25 ,fall2023
COMP 1008 A,Math for Game Programmers,0.5,Lecture,Wilf Lalonde, Tue , 18:05 - 20:55 ,fall2023
COMP 1405 A,Intro to Computer Science I,0.5,Lecture,Robert Collier, Tue Thu , 16:05 - 17:25 ,fall2023
COMP 1405 A1,Intro to Computer Science I,0,Tutorial,Robert Collier, Wed , 13:05 - 14:25 ,fall2023
COMP 1405 A2,Intro to Computer Science I,0,Tutorial,Robert Collier, Thu , 13:05 - 14:25 ,fall2023
COMP 1405 B,Intro to Computer Science I,0.5,Lecture,Robert Collier, Mon Wed , 08:35 - 09:55 ,fall2023
COMP 1405 B1,Intro to Computer Science I,0,Tutorial,Robert Collier, Mon , 13:05 - 14:25 ,fall2023
COMP 1405 B2,Intro to Computer Science I,0,Tutorial,Robert Collier, Tue , 16:05 - 17:25 ,fall2023
COMP 1405 C,Intro to Computer Science I,0.5,Lecture,Robert Collier, Tue Thu , 14:35 - 15:55 ,fall2023
COMP 1405 C1,Intro to Computer Science I,0,Tutorial,Robert Collier, Fri , 11:35 - 12:55 ,fall2023
COMP 1405 C2,Intro to Computer Science I,0,Tutorial,Robert Collier, Thu , 16:05 - 17:25 ,fall2023
COMP 1405 T,Intro to Computer Science I,0.5,Lecture,David Mould, Wed Fri , 14:35 - 15:55 ,fall2023
COMP 1405 T1,Intro to Computer Science I,0,Tutorial,David Mould, Mon , 11:35 - 12:55 ,fall2023
COMP 1405 Z,Intro to Computer Science I,0.5,Lecture,David McKenney, Wed Fri , 11:35 - 14:25 ,fall2023
COMP 1405 Z1,Intro to Computer Science I,0,Tutorial,David McKenney, Fri , 14:35 - 17:25 ,fall2023
COMP 1406 A,Intro to Computer Science II,0.5,Lecture,Jason Hinek, Tue Thu , 11:35 - 12:55 ,fall2023
COMP 1406 A1,Intro to Computer Science II,0,Tutorial,Jason Hinek, Wed , 18:05 - 19:25 ,fall2023
COMP 1406 A2,Intro to Computer Science II,0,Tutorial,Jason Hinek, Tue , 08:35 - 09:55 ,fall2023
COMP 1406 B,Intro to Computer Science II,0.5,Lecture,Jason Hinek, Tue Thu , 08:35 - 09:55 ,fall2023
COMP 1406 B1,Intro to Computer Science II,0,Tutorial,Jason Hinek, Thu , 18:05 - 19:25 ,fall2023
COMP 1406 B2,Intro to Computer Science II,0,Tutorial,Jason Hinek, Fri , 13:05 - 14:25 ,fall2023
COMP 1406 Z,Intro to Computer Science II,0.5,Lecture,David McKenney, Wed Fri , 11:35 - 14:25 ,fall2023
COMP 1406 Z1,Intro to Computer Science II,0,Tutorial,David McKenney, Fri , 14:35 - 17:25 ,fall2023
COMP 1805 A,Discrete Structures I,0.5,Lecture,Alexa Sharp, Tue Thu , 14:35 - 15:55 ,fall2023
COMP 1805 A1,Discrete Structures I,0,Tutorial,Alexa Sharp, Wed , 08:35 - 09:25 ,fall2023
COMP 1805 A2,Discrete Structures I,0,Tutorial,Alexa Sharp, Wed , 10:35 - 11:25 ,fall2023
COMP 1805 A3,Discrete Structures I,0,Tutorial,Alexa Sharp, Wed , 09:35 - 10:25 ,fall2023
COMP 1805 A4,Discrete Structures I,0,Tutorial,Alexa Sharp, Wed , 08:35 - 09:25 ,fall2023
COMP 1805 A5,Discrete Structures I,0,Tutorial,Alexa Sharp, Wed , 13:35 - 14:25 ,fall2023
COMP 1805 B,Discrete Structures I,0.5,Lecture,Alexa Sharp, Wed Fri , 13:05 - 14:25 ,fall2023
COMP 1805 B1,Discrete Structures I,0,Tutorial,Alexa Sharp, Tue , 10:35 - 11:25 ,fall2023
COMP 1805 B2,Discrete Structures I,0,Tutorial,Alexa Sharp, Tue , 16:35 - 17:25 ,fall2023
