Subject,Title,Credits,Schedule,Instructor,Days,Time,Term
COMP 1001 A,Computing for Arts Students,0.5,Lecture,TBA, Mon Wed , 10:05 - 11:25 ,winter2024
COMP 1005 A,Introduc to Computer Science I,0.5,Lecture,Robert Collier, Mon Wed , 10:05 - 11:25 ,winter2024
COMP 1005 A1,Introduc to Computer Science I,0,Tutorial,Robert Collier, Fri , 14:35 - 15:55 ,winter2024
COMP 1005 A2,Introduc to Computer Science I,0,Tutorial,Robert Collier, Fri , 10:05 - 11:25 ,winter2024
COMP 1005 B,Introduc to Computer Science I,0.5,Lecture,TBA, Tue Thu , 08:35 - 09:55 ,winter2024
COMP 1005 B1,Introduc to Computer Science I,0,Tutorial,TBA, Wed , 18:05 - 19:25 ,winter2024
COMP 1005 B2,Introduc to Computer Science I,0,Tutorial,TBA, Thu , 18:05 - 19:25 ,winter2024
COMP 1006 B,Introdu to Computer Science II,0.5,Lecture,TBA, Mon Wed , 16:05 - 17:25 ,winter2024
COMP 1006 B1,Introdu to Computer Science II,0,Tutorial,TBA, Mon , 08:35 - 09:55 ,winter2024
COMP 1006 B2,Introdu to Computer Science II,0,Tutorial,TBA, Mon , 14:35 - 15:55 ,winter2024
COMP 1006 B3,Introdu to Computer Science II,0,Tutorial,TBA, Mon , 10:05 - 11:25 ,winter2024
COMP 1405 A,Intro to Computer Science I,0.5,Lecture,Robert Collier, Mon Wed , 10:05 - 11:25 ,winter2024
COMP 1405 A1,Intro to Computer Science I,0,Tutorial,Robert Collier, Fri , 14:35 - 15:55 ,winter2024
COMP 1405 A2,Intro to Computer Science I,0,Tutorial,Robert Collier, Fri , 10:05 - 11:25 ,winter2024
COMP 1405 B,Intro to Computer Science I,0.5,Lecture,TBA, Tue Thu , 08:35 - 09:55 ,winter2024
COMP 1405 B1,Intro to Computer Science I,0,Tutorial,TBA, Wed , 18:05 - 19:25 ,winter2024
COMP 1405 B2,Intro to Computer Science I,0,Tutorial,TBA, Thu , 18:05 - 19:25 ,winter2024
